Authors,Title,Link,Abstract,Author Keywords
"Kolb B., Zhao B., Li J., Jiang B., Guo H.","Permutation invariant potential energy surfaces for polyatomic reactions using atomistic neural networks","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974698173&doi=10.1063%2f1.4953560&partnerID=40&md5=15992d4f2a58558ecbd7ad4c55f63486","The applicability and accuracy of the Behler-Parrinello atomistic neural network method for fitting reactive potential energy surfaces is critically examined in three systems, H + H2 → H2 + H, H + H2O → H2 + OH, and H + CH4 → H2 + CH3. A pragmatic Monte Carlo method is proposed to make efficient choice of the atom-centered mapping functions. The accuracy of the potential energy surfaces is not only tested by fitting errors but also validated by direct comparison in dynamically important regions and by quantum scattering calculations. Our results suggest this method is both accurate and efficient in representing multidimensional potential energy surfaces even when dissociation continua are involved. © 2016 Author(s).",
"Zhang D.H., Guo H.","Recent Advances in Quantum Dynamics of Bimolecular Reactions","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973303864&doi=10.1146%2fannurev-physchem-040215-112016&partnerID=40&md5=c7632b58c73addd7050a1026ed765dae","In this review, we survey the latest advances in theoretical understanding of bimolecular reaction dynamics in the past decade. The remarkable recent progress in this field has been driven by more accurate and efficient ab initio electronic structure theory, effective potential-energy surface fitting techniques, and novel quantum scattering algorithms. Quantum mechanical characterization of bimolecular reactions continues to uncover interesting dynamical phenomena in atom-diatom reactions and beyond, reaching an unprecedented level of sophistication. In tandem with experimental explorations, these theoretical developments have greatly advanced our understanding of key issues in reaction dynamics, such as microscopic reaction mechanisms, mode specificity, product energy disposal, influence of reactive resonances, and nonadiabatic effects. Copyright © 2016 by Annual Reviews. All rights reserved.","Differential cross sections; Mode specificity; Neural networks; Nonadiabatic effects; Permutation invariant polynomials; Potential-energy surface; Product energy disposal; Reactive scattering; Resonances"
"Zuo J., Li Y., Guo H., Xie D.","Rate Coefficients of the HCl + OH → Cl + H2O Reaction from Ring Polymer Molecular Dynamics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973519850&doi=10.1021%2facs.jpca.6b03488&partnerID=40&md5=3cfd6166e06533315c8010ff9fbf8640","Thermal rate coefficients at temperatures between 200 and 1000 K are calculated for the HCl + OH → Cl + H2O reaction on a recently developed permutation invariant potential energy surface, using ring polymer molecular dynamics (RPMD). Large deviations from the Arrhenius limit are found at low temperatures, suggesting significant quantum tunneling. Agreement with available experimental rate coefficients is generally satisfactory, although the deviation becomes larger at lower temperatures. The theory-experiment discrepancy is attributed to the remaining errors in the potential energy surface, which is known to slightly overestimate the barrier. In the deep tunneling region, RPMD performs better than traditional transition-state theory with semiclassical tunneling corrections. © 2016 American Chemical Society.",
"Li J., Guo H.","Full-Dimensional Potential Energy Surface and Ro-vibrational Levels of Dioxirane","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971014940&doi=10.1021%2facs.jpca.5b08491&partnerID=40&md5=ad252d9f41e1dd84b01be833a2f6f52b","A full-dimensional potential energy surface is developed for dioxirane based on a high-fidelity fit of 46,000 ab initio points at the CCSD(T)-F12a/AVTZ level. The ro-vibrational levels of dioxirane were computed using the MULTIMODE method on this potential energy surface, and the agreement with the available experimental microwave spectrum is quite satisfactory. In addition, dipole moment surfaces have been constructed from ab initio data, and they allow the prediction of the infrared (IR) spectrum. © 2015 American Chemical Society.",
"Kłos J., Alexander M.H., Kumar P., Poirier B., Jiang B., Guo H.","New ab initio adiabatic potential energy surfaces and bound state calculations for the singlet ground X1 A1 and excited C1B2(21A′) states of SO2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968928108&doi=10.1063%2f1.4947526&partnerID=40&md5=d91cd1c04e44cef5cbbb77c883d4b88a","We report new and more accurate adiabatic potential energy surfaces (PESs) for the ground X1 A1 and electronically excited C1B2(21A′) states of the SO2 molecule. Ab initio points are calculated using the explicitly correlated internally contracted multi-reference configuration interaction (icMRCI-F12) method. A second less accurate PES for the ground X state is also calculated using an explicitly correlated single-reference coupled-cluster method with single, double, and non-iterative triple excitations [CCSD(T)-F12]. With these new three-dimensional PESs, we determine energies of the vibrational bound states and compare these values to existing literature data and experiment. © 2016 Author(s).",
"Jiang B., Guo H.","Origin of Steric Effects in Methane Dissociative Chemisorption","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966340528&doi=10.1021%2facs.jpcc.6b01951&partnerID=40&md5=04cc5c37fc48ee20d2a8f9c364c4b5a7","Steric effects in chemical reactions, namely, the dependence of reactivity on reactant spatial orientation and/or alignment, provide valuable information on the anisotropic potential energy surface and access to the transition state. However, a theoretical interpretation of steric effect is often not straightforward because of convolution of the dynamics by many other factors. Here, we present a theoretical study on the dissociative chemisorption of methane using a quasi-classical trajectory method on a density functional theory based global potential energy surface and offer a theoretical interpretation of the interesting but surprising steric effect in this prototypical and industrially relevant gas-surface reaction. © 2016 American Chemical Society.",
"Song H., Lu Y., Li J., Yang M., Guo H.","Mode specificity in the OH + CHD3 reaction: Reduced-dimensional quantum and quasi-classical studies on an ab initio based full-dimensional potential energy surface","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969718272&doi=10.1063%2f1.4947252&partnerID=40&md5=ef009e7d7548c466b78521db68eb449a","An initial state selected time-dependent wave packet method is applied to study the dynamics of the OH + CHD3 reaction with a six-dimensional model on a newly developed full-dimensional ab initio potential energy surface (PES). This quantum dynamical (QD) study is complemented by full-dimensional quasi-classical trajectory (QCT) calculations on the same PES. The QD results indicate that both translational energy and the excitation of the CH stretching mode significantly promote the reaction while the excitation of the umbrella mode has a negligible effect on the reactivity. For this early barrier reaction, interestingly, the CH stretching mode is more effective than translational energy in promoting the reaction except at very low collision energies. These QD observations are supported by QCT results. The higher efficacy of the CH stretching model in promoting this early barrier reaction is inconsistent with the prediction of the naively extended Polanyi's rules, but can be rationalized by the recently proposed sudden vector projection model. © 2016 Author(s).",
"Jiang B., Song H., Yang M., Guo H.","Quantum dynamics of water dissociative chemisorption on rigid Ni(111): An approximate nine-dimensional treatment","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966344042&doi=10.1063%2f1.4947492&partnerID=40&md5=454c125c6fc6710e2092c735d46a180d","The quantum dynamics of water dissociative chemisorption on the rigid Ni(111) surface is investigated using a recently developed nine-dimensional potential energy surface. The quantum dynamical model includes explicitly seven degrees of freedom of D2O at fixed surface sites, and the final results were obtained with a site-averaging model. The mode specificity in the site-specific results is reported and analyzed. Finally, the approximate sticking probabilities for various vibrationally excited states of D2O are obtained considering surface lattice effects and formally all nine degrees of freedom. The comparison with experiment reveals the inaccuracy of the density functional theory and suggests the need to improve the potential energy surface. © 2016 Author(s).",
"Yu H.-G., Han H., Guo H.","Full-Dimensional Quantum Calculations of Vibrational Levels of NH4 + and Isotopomers on An Accurate Ab Initio Potential Energy Surface","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965078668&doi=10.1021%2facs.jpca.6b01946&partnerID=40&md5=70e71cf78536caec418cb4d189808f13","Vibrational energy levels of the ammonium cation (NH4 +) and its deuterated isotopomers are calculated using a numerically exact kinetic energy operator on a recently developed nine-dimensional permutation invariant semiglobal potential energy surface fitted to a large number of high-level ab initio points. Like CH4, the vibrational levels of NH4 + and ND4 + exhibit a polyad structure, characterized by a collective quantum number P = 2(v1 + v3) + v2 + v4. The low-lying vibrational levels of all isotopomers are assigned and the agreement with available experimental data is better than 1 cm-1. © 2016 American Chemical Society.",
"Yu H.S., He X., Truhlar D.G.","MN15-L: A New Local Exchange-Correlation Functional for Kohn-Sham Density Functional Theory with Broad Accuracy for Atoms, Molecules, and Solids","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960354609&doi=10.1021%2facs.jctc.5b01082&partnerID=40&md5=abb67863b3478eb7c547258c1b8d871a","Kohn-Sham density functional theory is widely used for applications of electronic structure theory in chemistry, materials science, and condensed-matter physics, but the accuracy depends on the quality of the exchange-correlation functional. Here, we present a new local exchange-correlation functional called MN15-L that predicts accurate results for a broad range of molecular and solid-state properties including main-group bond energies, transition metal bond energies, reaction barrier heights, noncovalent interactions, atomic excitation energies, ionization potentials, electron affinities, total atomic energies, hydrocarbon thermochemistry, and lattice constants of solids. The MN15-L functional has the same mathematical form as a previous meta-nonseparable gradient approximation exchange-correlation functional, MN12-L, but it is improved because we optimized it against a larger database, designated 2015A, and included smoothness restraints; the optimization has a much better representation of transition metals. The mean unsigned error on 422 chemical energies is 2.32 kcal/mol, which is the best among all tested functionals, with or without nonlocal exchange. The MN15-L functional also provides good results for test sets that are outside the training set. A key issue is that the functional is local (no nonlocal exchange or nonlocal correlation), which makes it relatively economical for treating large and complex systems and solids. Another key advantage is that medium-range correlation energy is built in so that one does not need to add damped dispersion by molecular mechanics in order to predict accurate noncovalent binding energies. We believe that the MN15-L functional should be useful for a wide variety of applications in chemistry, physics, materials science, and molecular biology. © 2016 American Chemical Society.",
"Lin W., Varga Z., Song G., Paukku Y., Truhlar D.G.","Global triplet potential energy surfaces for the N2(X 1Σ) + O(3 P) → NO(X 2Π) + N(4 S) reaction","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954543892&doi=10.1063%2f1.4938241&partnerID=40&md5=97895de30d97bc41b90e8e73d02e5356","This work presents two global triplet potential energy surfaces (PESs) for the high-energy reaction N2(X1Σ) + O(3P) → NO(X2Π) + N(4S) - in particular, for the lowest energy 3A′ and 3A″ PESs. In order to obtain the energies needed for fitting analytic surfaces, we carried out multireference configuration interaction (MRCI) calculations based on wave functions obtained from state-averaged complete active space self-consistent field calculations for 2280 geometries for the three lowest 3A″ states and for 2298 geometries for the three lowest 3A′ states. The lowest-energy 3A′ and 3A″ states at each of these geometries were then improved by applying the dynamically scaled external correlation (DSEC) method to all MRCI points, and the resulting DSEC energies were used for construction of the ground-state PES for each symmetry. The many-body component of the DSEC energies for the three-dimensional 3A′ and 3A″ PESs was then least-squares fitted in terms of permutationally invariant polynomials in mixed exponential-Gaussian bond order variables. The global and local minima as well as the transition structures of both the 3A′ and the 3A″ analytic PES were explored. In agreement with previous work, we find that the reverse reaction is barrierless on the 3A″ surface along the minimum energy pathway. However, we have explored several new local minima and transition structures on the 3A′ PES. Furthermore, based on the newly found minima and transition structures, two independent reaction mechanisms have been illustrated for the reaction path on the 3A′ PES. The analytic surfaces may be used for dynamics calculations of electronically adiabatic reactive scattering and energy transfer. © 2016 AIP Publishing LLC.",
"Jiang B., Guo H.","Communication: Enhanced dissociative chemisorption of CO2 via vibrational excitation","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959481085&doi=10.1063%2f1.4943002&partnerID=40&md5=e0413f5f2b2e4f5dc494b9cadf748244","A fully coupled global nine-dimensional potential energy surface for the dissociative chemisorption of CO2 on Ni(100) is constructed from ∼18 000 density functional points. It reveals a complex reaction pathway dominated by two near iso-energetic transition states. The dissociation probabilities obtained by quasi-classical trajectories on the potential energy surface reproduced experimental trends, and indicate that vibrational excitations of CO2 significantly promote the dissociation. Using the sudden vector projection model, the behavior of the reactivity is rationalized by couplings with the reaction coordinate at each transition state. These results offer plausible rationalization for the observed enhancement of CO2 dissociation in non-thermal plasmas by metal surfaces. © 2016 AIP Publishing LLC.",
"Varga Z., Meana-Pañeda R., Song G., Paukku Y., Truhlar D.G.","Potential energy surface of triplet N2O2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954554178&doi=10.1063%2f1.4939008&partnerID=40&md5=77f8cfaff8abb58c339ad8645e6b0bec","We present a global ground-state triplet potential energy surface for the N2O2 system that is suitable for treating high-energy vibrational-rotational energy transfer and collision-induced dissociation. The surface is based on multi-state complete-active-space second-order perturbation theory/minimally augmented correlation-consistent polarized valence triple-zeta electronic structure calculations plus dynamically scaled external correlation. In the multireference calculations, the active space has 14 electrons in 12 orbitals. The calculations cover nine arrangements corresponding to dissociative diatom-diatom collisions of N2, O2, and nitric oxide (NO), the interaction of a triatomic molecule (N2O and NO2) with the fourth atom, and the interaction of a diatomic molecule with a single atom (i.e., the triatomic subsystems). The global ground-state potential energy surface was obtained by fitting the many-body interaction to 54 889 electronic structure data points with a fitting function that is a permutationally invariant polynomial in terms of bond-order functions of the six interatomic distances. © 2016 AIP Publishing LLC.",
"Tennyson J., McKemmish L.K., Rivlin T.","Low-temperature chemistry using the R-matrix method","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009067796&doi=10.1039%2fc6fd00110f&partnerID=40&md5=140b9464509f8dcbb4deb796524af544","Techniques for producing cold and ultracold molecules are enabling the study of chemical reactions and scattering at the quantum scattering limit, with only a few partial waves contributing to the incident channel, leading to the observation and even full control of state-to-state collisions in this regime. A new R-matrix formalism is presented for tackling problems involving low- and ultra-low energy collisions. This general formalism is particularly appropriate for slow collisions occurring on potential energy surfaces with deep wells. The many resonance states make such systems hard to treat theoretically but offer the best prospects for novel physics: resonances are already being widely used to control diatomic systems and should provide the route to steering ultracold reactions. Our R-matrix-based formalism builds on the progress made in variational calculations of molecular spectra by using these methods to provide wavefunctions for the whole system at short internuclear distances, (a regime known as the inner region). These wavefunctions are used to construct collision energy-dependent R-matrices which can then be propagated to give cross sections at each collision energy. The method is formulated for ultracold collision systems with differing numbers of atoms. © The Royal Society of Chemistry 2016.",
"Li J., Guo H.","Communication: An accurate full 15 dimensional permutationally invariant potential energy surface for the OH + CH4 → H2O + CH3 reaction","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949668394&doi=10.1063%2f1.4937570&partnerID=40&md5=d96e72245bc7aaaa9b5e248058183d60","A globally accurate full-dimensional potential energy surface (PES) for the OH + CH4 → H2O + CH3 reaction is developed using the permutation invariant polynomial-neural network approach based on ∼135 000 points at the level of correlated coupled cluster singles, doubles, and perturbative triples level with the augmented correlation consistent polarized valence triple-zeta basis set. The total root mean square fitting error is only 3.9 meV or 0.09 kcal/mol. This PES is shown to reproduce energies, geometries, and harmonic frequencies of stationary points along the reaction path. Kinetic and dynamical calculations on the PES indicated a good agreement with the available experimental data. © 2015 AIP Publishing LLC.",
"Polyansky O.L., Ovsyannikov R.I., Kyuberis A.A., Lodi L., Tennyson J., Yachmenev A., Yurchenko S.N., Zobov N.F.","Calculation of rotation-vibration energy levels of the ammonia molecule based on an ab initio potential energy surface","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995378489&doi=10.1016%2fj.jms.2016.08.003&partnerID=40&md5=10b2f7ac837bd2df64002b19c71577b5","An ab initio potential energy surface (PES) for gas-phase ammonia NH3 has been computed using the methodology pioneered for water (Polyansky et al., 2013). Multireference configuration interaction calculations are performed at about 50000 points using the aug-cc-pCVQZ and aug-cc-pCV5Z basis sets and basis set extrapolation. Relativistic and adiabatic surfaces are also computed. The points are fitted to a suitable analytical form, producing the most accurate ab initio PES for this molecule available. The rotation-vibration energy levels are computed using nuclear motion program TROVE in both linearised and curvilinear coordinates. Better convergence is obtained using curvilinear coordinates. Our results are used to assign the visible spectrum of 14NH3 recorded by Coy and Lehmann (1986). Rotation-vibration energy levels for the isotopologues NH2D, NHD2, ND3 and 15NH3 are also given. An ab initio value for the dissociation energy D0 of 14NH3 is also presented. © 2016.","Ab initio; Ammonia; Dissociation energy; Global potential energy surface; Rovibrational levels"
"Ma J., Guo H.","Reactive and Nonreactive Feshbach Resonances Accessed by Photodetachment of FH2O-","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948964705&doi=10.1021%2facs.jpclett.5b02366&partnerID=40&md5=6a6d2c2d3f2eb6239cef323acc8a7f6a","The photodetachment of the FH2O- anion is investigated quantum mechanically on accurate full-dimensional potential energy surfaces of the two lowest-lying electronic states of FH2O. The calculated photoelectron spectrum possesses both broad and sharp features, corresponding to reactive and nonreactive Feshbach resonances. The former extend to both reactant and product channels over the transition state, while the latter are supported by a hydrogen bonded HO-HF well in the product channel. Many of the resonances are assignable with quantum numbers for the stretching and bending modes of the HO-HF complex as well as the H-F vibration. The implications of these resonances in the F + H2O 虠 HF + HO reaction are discussed. © 2015 American Chemical Society.","Feshbach resonances; photodetachment; photoelectron spectrum; potential energy surface"
